FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
76,141,13391,4071,,0,,,0,,0,152
76,140,12883,4008,,0,,,0,,0,204
74,133,12715,3733,,0,,,0,,0,171
77,142,13233,4036,,0,,,0,,0,130
78,146,13275,4195,,0,,,0,,0,230
108,207,15204,4296,,0,,,0,,0,230
74,135,13012,3836,,0,,,0,,0,144
71,128,12682,3669,,0,,,0,,0,160
74,132,12991,3739,,0,,,0,,0,127
81,151,14187,4410,,0,,,0,,0,206
74,133,12715,3733,,0,,,0,,0,140
74,135,13012,3836,,0,,,0,,0,162
87,165,14593,4658,,0,,,0,,0,243
74,134,12820,3847,,0,,,0,,0,183
101,194,15161,4485,,0,,,0,,0,229
71,128,12682,3669,,0,,,0,,0,135
71,127,12879,3584,,0,,,0,,0,128
74,135,13012,3836,,0,,,0,,0,165
76,141,13391,4071,,0,,,0,,0,189
82,153,14075,4522,,0,,,0,,0,222
81,152,13830,4428,,0,,,0,,0,233
76,139,13226,4024,,0,,,0,,0,178
84,159,14296,4511,,0,,,0,,0,234
109,208,15669,4325,,0,,,0,,0,228
90,175,14818,4563,,0,,,0,,0,243
