FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
102,189,26331,16070,,0,,,0,,0,130
111,203,27004,16335,,0,,,0,,0,222
118,216,29410,17924,,0,,,0,,0,243
108,201,27411,16681,,0,,,0,,0,233
93,170,25745,15654,,0,,,0,,0,128
99,181,26138,15763,,0,,,0,,0,161
99,184,26495,16004,,0,,,0,,0,178
101,188,26648,16033,,0,,,0,,0,152
150,265,32430,19356,,0,,,0,,0,227
95,177,26144,15898,,0,,,0,,0,170
137,247,33123,20058,,0,,,0,,0,228
101,188,26883,16333,,0,,,0,,0,204
126,229,32129,19599,,0,,,0,,0,243
96,178,26878,16325,,0,,,0,,0,182
114,211,27683,16705,,0,,,0,,0,234
99,181,26138,15763,,0,,,0,,0,144
95,175,26605,16121,,0,,,0,,0,127
108,198,26949,16454,,0,,,0,,0,205
93,172,25731,15515,,0,,,0,,0,160
99,181,26138,15763,,0,,,0,,0,165
93,172,25731,15515,,0,,,0,,0,135
101,188,26648,16033,,0,,,0,,0,188
95,177,26144,15898,,0,,,0,,0,139
104,195,27754,17057,,0,,,0,,0,230
151,268,32890,19945,,0,,,0,,0,230
