FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
92,181,19385,7731,,0,,,0,,0,170
121,234,22576,9242,,0,,,0,,0,243
95,186,19991,7923,,0,,,0,,0,161
92,181,19385,7731,,0,,,0,,0,139
90,174,19328,7735,,0,,,0,,0,128
95,186,19991,7923,,0,,,0,,0,144
145,272,22924,9136,,0,,,0,,0,227
93,182,19637,7800,,0,,,0,,0,182
100,199,20030,8072,,0,,,0,,0,230
95,186,19991,7923,,0,,,0,,0,165
132,253,24752,10127,,0,,,0,,0,228
98,192,19910,8062,,0,,,0,,0,152
98,192,19658,7967,,0,,,0,,0,204
90,176,19356,7721,,0,,,0,,0,160
110,216,20354,8137,,0,,,0,,0,234
98,192,19910,8062,,0,,,0,,0,188
146,275,23311,9508,,0,,,0,,0,230
92,179,19540,7828,,0,,,0,,0,127
99,193,19812,8077,,0,,,0,,0,130
104,205,20414,8367,,0,,,0,,0,233
90,176,19356,7721,,0,,,0,,0,135
114,221,20566,8307,,0,,,0,,0,243
107,207,19903,8045,,0,,,0,,0,222
96,188,19985,8219,,0,,,0,,0,178
104,203,20201,8087,,0,,,0,,0,205
