FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
67,132,8055,4436,,0,,,0,,0,183
74,153,7435,4180,,0,,,0,,0,233
69,138,7630,4153,,0,,,0,,0,189
63,126,7602,4182,,0,,,0,,0,160
69,138,7630,4153,,0,,,0,,0,152
68,136,7928,4358,,0,,,0,,0,178
84,176,8576,4746,,0,,,0,,0,243
64,129,7654,4297,,0,,,0,,0,170
63,126,7602,4182,,0,,,0,,0,135
69,138,7844,4391,,0,,,0,,0,204
74,150,7442,4052,,0,,,0,,0,222
67,134,7942,4360,,0,,,0,,0,144
64,129,7654,4297,,0,,,0,,0,140
67,134,7942,4360,,0,,,0,,0,162
70,139,7442,3997,,0,,,0,,0,130
93,193,8804,4721,,0,,,0,,0,230
79,165,7926,4368,,0,,,0,,0,243
73,147,7820,4241,,0,,,0,,0,206
91,193,9693,5187,,0,,,0,,0,229
65,128,7776,4253,,0,,,0,,0,127
64,126,7651,4274,,0,,,0,,0,128
78,162,7875,4368,,0,,,0,,0,234
73,149,7561,4137,,0,,,0,,0,230
67,134,7942,4360,,0,,,0,,0,165
97,197,8958,4739,,0,,,0,,0,228
