FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
71,153,19331,11571,,0,,,0,,0,188
69,146,20675,12442,,0,,,0,,0,182
78,168,19673,11786,,0,,,0,,0,222
70,150,19244,11424,,0,,,0,,0,178
102,230,25966,15877,,0,,,0,,0,228
82,182,21457,13310,,0,,,0,,0,243
74,162,19801,11819,,0,,,0,,0,206
70,146,19636,11812,,0,,,0,,0,170
66,141,20159,12408,,0,,,0,,0,135
77,170,20075,12213,,0,,,0,,0,233
72,153,18850,11192,,0,,,0,,0,130
67,140,19165,11513,,0,,,0,,0,128
70,148,19264,11452,,0,,,0,,0,165
81,179,20628,12702,,0,,,0,,0,234
77,166,19614,11734,,0,,,0,,0,230
68,141,19382,11709,,0,,,0,,0,127
100,227,26598,16310,,0,,,0,,0,230
92,210,24952,15409,,0,,,0,,0,229
66,141,20159,12408,,0,,,0,,0,160
71,153,19331,11571,,0,,,0,,0,152
70,148,19264,11452,,0,,,0,,0,144
70,146,19636,11812,,0,,,0,,0,140
86,193,22415,13902,,0,,,0,,0,243
71,153,19531,11697,,0,,,0,,0,204
70,148,19264,11452,,0,,,0,,0,161
