FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
63,141,15482,8396,,0,,,0,,0,223
71,172,14755,7624,,0,,,0,,0,229
62,138,15416,8253,,0,,,0,,0,233
59,131,14263,7667,,0,,,0,,0,130
56,120,13635,7003,,0,,,0,,0,140
59,129,14460,7708,,0,,,0,,0,204
55,120,13283,6677,,0,,,0,,0,127
74,183,14235,7290,,0,,,0,,0,230
63,144,15160,8350,,0,,,0,,0,235
56,120,13635,7003,,0,,,0,,0,171
59,130,14584,7870,,0,,,0,,0,152
56,121,13432,6790,,0,,,0,,0,165
58,126,14626,7540,,0,,,0,,0,178
59,132,14114,7590,,0,,,0,,0,230
56,121,13432,6790,,0,,,0,,0,162
75,188,14483,7229,,0,,,0,,0,228
59,130,14584,7870,,0,,,0,,0,189
55,120,13384,6702,,0,,,0,,0,183
67,156,14731,8000,,0,,,0,,0,244
56,121,13432,6790,,0,,,0,,0,145
55,117,13495,6777,,0,,,0,,0,128
62,138,15636,8349,,0,,,0,,0,206
55,117,13562,6806,,0,,,0,,0,160
63,147,14906,8147,,0,,,0,,0,244
55,117,13562,6806,,0,,,0,,0,135
