FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
89,192,25966,16076,,0,,,0,,0,229
70,137,21616,13885,,0,,,0,,0,165
67,130,20709,12904,,0,,,0,,0,160
76,156,23349,15227,,0,,,0,,0,222
68,134,20889,13149,,0,,,0,,0,171
71,143,21902,14314,,0,,,0,,0,152
67,130,20709,12904,,0,,,0,,0,135
95,204,25876,15797,,0,,,0,,0,230
74,151,23147,15492,,0,,,0,,0,206
74,152,22596,15189,,0,,,0,,0,233
80,165,24157,15537,,0,,,0,,0,243
81,172,23667,15114,,0,,,0,,0,243
71,143,21902,14314,,0,,,0,,0,189
97,208,25307,15234,,0,,,0,,0,228
67,133,21293,13468,,0,,,0,,0,183
67,131,20808,13046,,0,,,0,,0,128
73,146,22849,14994,,0,,,0,,0,130
73,148,22491,14879,,0,,,0,,0,230
68,134,20889,13149,,0,,,0,,0,140
71,143,21970,14333,,0,,,0,,0,204
70,137,21616,13885,,0,,,0,,0,144
70,135,21860,13906,,0,,,0,,0,127
70,137,21616,13885,,0,,,0,,0,162
70,139,21819,14034,,0,,,0,,0,178
77,159,23309,15173,,0,,,0,,0,234
