FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
92,181,6853,3307,,0,,,0,,0,243
106,210,6682,3006,,0,,,0,,0,228
87,170,6940,3347,,0,,,0,,0,243
77,148,6571,3075,,0,,,0,,0,144
77,148,6121,2945,,0,,,0,,0,152
77,147,6648,3151,,0,,,0,,0,170
81,157,6210,2922,,0,,,0,,0,206
104,205,6670,3028,,0,,,0,,0,230
73,140,6441,3131,,0,,,0,,0,135
99,196,7067,3245,,0,,,0,,0,229
77,147,6648,3151,,0,,,0,,0,140
76,146,6775,3154,,0,,,0,,0,182
77,148,6121,2945,,0,,,0,,0,189
73,140,6441,3131,,0,,,0,,0,160
82,158,6339,3080,,0,,,0,,0,233
87,174,7413,3596,,0,,,0,,0,234
76,146,6629,3063,,0,,,0,,0,127
73,140,6531,3077,,0,,,0,,0,128
80,152,6173,2859,,0,,,0,,0,130
82,160,6599,3221,,0,,,0,,0,230
77,148,6161,2959,,0,,,0,,0,204
85,163,6697,3180,,0,,,0,,0,222
77,148,6571,3075,,0,,,0,,0,162
77,148,6571,3075,,0,,,0,,0,165
77,150,6700,3152,,0,,,0,,0,178
