FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
94,181,20672,9250,,0,,,0,,0,233
90,170,20247,8698,,0,,,0,,0,188
84,155,19398,8351,,0,,,0,,0,135
82,152,18967,8035,,0,,,0,,0,128
87,163,19817,8410,,0,,,0,,0,144
97,184,19971,8434,,0,,,0,,0,222
130,243,22127,9228,,0,,,0,,0,228
98,189,20079,8840,,0,,,0,,0,234
101,195,20055,8600,,0,,,0,,0,243
90,170,20247,8698,,0,,,0,,0,152
94,179,20425,8957,,0,,,0,,0,206
84,158,19897,8606,,0,,,0,,0,140
84,156,19632,8281,,0,,,0,,0,127
108,208,19974,8431,,0,,,0,,0,243
126,239,21152,8735,,0,,,0,,0,230
84,155,19398,8351,,0,,,0,,0,160
87,163,19817,8410,,0,,,0,,0,161
87,163,19817,8410,,0,,,0,,0,165
91,170,20175,8639,,0,,,0,,0,130
120,227,21185,8962,,0,,,0,,0,229
84,158,19897,8606,,0,,,0,,0,170
90,169,20229,8858,,0,,,0,,0,204
85,159,19776,8554,,0,,,0,,0,182
88,165,19883,8529,,0,,,0,,0,178
91,173,20540,9222,,0,,,0,,0,230
