FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
88,173,22901,13291,,0,,,0,,0,243
75,140,19491,12086,,0,,,0,,0,170
105,213,19059,9987,,0,,,0,,0,230
82,160,21555,13142,,0,,,0,,0,233
99,201,20990,11304,,0,,,0,,0,229
73,136,19180,11584,,0,,,0,,0,135
75,140,19491,12086,,0,,,0,,0,140
73,136,19180,11584,,0,,,0,,0,160
79,153,20489,12442,,0,,,0,,0,230
79,150,20042,12024,,0,,,0,,0,130
75,141,19779,11951,,0,,,0,,0,183
78,150,20148,12321,,0,,,0,,0,152
76,143,19875,12149,,0,,,0,,0,165
85,164,21661,12746,,0,,,0,,0,222
76,143,19875,12149,,0,,,0,,0,144
76,143,19875,12149,,0,,,0,,0,162
78,150,20148,12321,,0,,,0,,0,188
73,135,19462,11613,,0,,,0,,0,128
72,137,19448,11761,,0,,,0,,0,127
82,159,21133,12816,,0,,,0,,0,206
93,184,22078,12574,,0,,,0,,0,243
109,218,19966,10432,,0,,,0,,0,228
78,149,20313,12379,,0,,,0,,0,204
78,147,20476,12222,,0,,,0,,0,178
85,167,22590,13288,,0,,,0,,0,234
