FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
81,138,7385,2664,,0,,,0,,0,160
94,164,8010,3085,,0,,,0,,0,222
86,148,7747,2816,,0,,,0,,0,178
85,145,7810,2822,,0,,,0,,0,182
90,159,8007,3075,,0,,,0,,0,230
90,158,8111,3106,,0,,,0,,0,206
97,172,7944,3067,,0,,,0,,0,234
86,148,7850,2941,,0,,,0,,0,130
86,146,7620,2764,,0,,,0,,0,165
101,179,8331,3297,,0,,,0,,0,243
124,221,8384,3040,,0,,,0,,0,230
88,152,8011,2922,,0,,,0,,0,188
86,146,7620,2764,,0,,,0,,0,144
86,148,7721,2952,,0,,,0,,0,204
115,207,8240,3045,,0,,,0,,0,229
126,224,8439,2954,,0,,,0,,0,228
88,152,8011,2922,,0,,,0,,0,152
81,139,7430,2746,,0,,,0,,0,170
80,136,7549,2666,,0,,,0,,0,127
95,166,8145,3104,,0,,,0,,0,233
79,134,7379,2631,,0,,,0,,0,128
107,190,8450,3286,,0,,,0,,0,243
86,146,7620,2764,,0,,,0,,0,162
81,138,7385,2664,,0,,,0,,0,135
81,139,7430,2746,,0,,,0,,0,140
