FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
88,175,24464,12412,,0,,,0,,0,204
88,175,24625,12628,,0,,,0,,0,188
86,169,23292,11862,,0,,,0,,0,161
85,165,23949,12046,,0,,,0,,0,140
83,161,22632,11203,,0,,,0,,0,135
86,169,23292,11862,,0,,,0,,0,165
86,167,23473,11677,,0,,,0,,0,182
87,172,23967,12615,,0,,,0,,0,130
124,252,24583,12203,,0,,,0,,0,230
99,200,25052,13185,,0,,,0,,0,234
89,174,24076,12123,,0,,,0,,0,178
117,236,24602,12401,,0,,,0,,0,229
102,206,25738,13819,,0,,,0,,0,243
95,192,24957,13068,,0,,,0,,0,233
82,159,23109,11590,,0,,,0,,0,127
86,169,23292,11862,,0,,,0,,0,144
85,165,23949,12046,,0,,,0,,0,170
128,256,25476,12446,,0,,,0,,0,227
88,175,24625,12628,,0,,,0,,0,152
95,190,24814,13123,,0,,,0,,0,222
83,161,22632,11203,,0,,,0,,0,160
91,185,24873,12856,,0,,,0,,0,230
107,218,25450,13438,,0,,,0,,0,243
92,186,25267,13274,,0,,,0,,0,206
81,158,22835,11222,,0,,,0,,0,128
