FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
78,147,17242,7070,,0,,,0,,0,123
88,163,18302,7820,,0,,,0,,0,206
77,144,17325,7194,,0,,,0,,0,162
74,137,16714,6784,,0,,,0,,0,109
74,136,16560,6607,,0,,,0,,0,102
81,151,17829,7371,,0,,,0,,0,135
76,142,16803,6930,,0,,,0,,0,116
84,157,19132,8108,,0,,,0,,0,133
72,134,16887,6763,,0,,,0,,0,112
72,132,16318,6535,,0,,,0,,0,107
81,151,17829,7371,,0,,,0,,0,128
78,147,17242,7070,,0,,,0,,0,144
90,168,18822,8082,,0,,,0,,0,220
83,156,18300,7951,,0,,,0,,0,198
74,136,16560,6607,,0,,,0,,0,102
76,142,16803,6930,,0,,,0,,0,115
76,142,16803,6930,,0,,,0,,0,160
71,130,16295,6233,,0,,,0,,0,100
79,148,17320,7249,,0,,,0,,0,123
91,172,19665,8696,,0,,,0,,0,133
88,163,18302,7820,,0,,,0,,0,207
76,142,16803,6930,,0,,,0,,0,162
77,144,17325,7194,,0,,,0,,0,123
76,141,16894,6865,,0,,,0,,0,119
73,135,16559,6694,,0,,,0,,0,113
71,130,16295,6233,,0,,,0,,0,101
79,148,17320,7249,,0,,,0,,0,168
