FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
70,145,17775,6603,,0,,,0,,0,109
67,137,17314,6312,,0,,,0,,0,101
73,151,17497,6433,,0,,,0,,0,115
68,141,17878,6487,,0,,,0,,0,112
84,174,19116,7361,,0,,,0,,0,207
77,166,18500,7162,,0,,,0,,0,198
75,158,18126,6835,,0,,,0,,0,128
67,137,17314,6312,,0,,,0,,0,100
71,151,18100,6909,,0,,,0,,0,162
69,143,18029,6552,,0,,,0,,0,102
72,153,17866,6672,,0,,,0,,0,144
72,149,18113,6538,,0,,,0,,0,119
75,158,18126,6835,,0,,,0,,0,135
84,174,19116,7361,,0,,,0,,0,206
69,143,18029,6552,,0,,,0,,0,102
73,151,17497,6433,,0,,,0,,0,116
73,151,17497,6433,,0,,,0,,0,162
71,151,18100,6909,,0,,,0,,0,123
74,155,17879,6742,,0,,,0,,0,123
84,177,19422,7672,,0,,,0,,0,220
70,142,17800,6502,,0,,,0,,0,107
68,142,17970,6595,,0,,,0,,0,113
74,155,17879,6742,,0,,,0,,0,168
73,151,17497,6433,,0,,,0,,0,160
79,166,18910,7154,,0,,,0,,0,133
83,180,20052,8079,,0,,,0,,0,133
72,153,17866,6672,,0,,,0,,0,123
