FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
59,114,18007,10050,,0,,,0,,0,119
57,108,17252,9214,,0,,,0,,0,107
61,119,18366,10154,,0,,,0,,0,168
60,112,17556,9224,,0,,,0,,0,102
60,116,17350,9507,,0,,,0,,0,162
65,127,19779,11136,,0,,,0,,0,133
60,113,17831,9679,,0,,,0,,0,109
70,139,19753,11091,,0,,,0,,0,133
62,119,18858,10417,,0,,,0,,0,123
57,107,16802,8905,,0,,,0,,0,100
62,121,18681,10490,,0,,,0,,0,135
62,119,18858,10417,,0,,,0,,0,144
62,121,18681,10490,,0,,,0,,0,128
69,134,18051,10038,,0,,,0,,0,208
68,135,18872,10683,,0,,,0,,0,220
60,116,17350,9507,,0,,,0,,0,161
61,118,18501,10103,,0,,,0,,0,123
64,127,18751,10614,,0,,,0,,0,198
61,118,18501,10103,,0,,,0,,0,162
57,109,17908,9683,,0,,,0,,0,112
60,116,17350,9507,,0,,,0,,0,115
60,112,17556,9224,,0,,,0,,0,102
61,119,18366,10154,,0,,,0,,0,123
58,110,17447,9566,,0,,,0,,0,113
57,107,16802,8905,,0,,,0,,0,101
60,116,17350,9507,,0,,,0,,0,116
69,134,18051,10038,,0,,,0,,0,206
