FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
50,107,13169,6250,,0,,,0,,0,162
50,106,12101,5667,,0,,,0,,0,116
49,103,12273,5754,,0,,,0,,0,102
49,103,12273,5754,,0,,,0,,0,103
53,116,13157,6488,,0,,,0,,0,198
57,125,14180,7597,,0,,,0,,0,133
54,117,13534,6723,,0,,,0,,0,133
47,100,11674,5394,,0,,,0,,0,113
51,109,12633,6064,,0,,,0,,0,123
50,107,13028,6200,,0,,,0,,0,119
50,106,12101,5667,,0,,,0,,0,161
47,99,11448,5202,,0,,,0,,0,107
53,114,13354,6458,,0,,,0,,0,128
53,114,13354,6458,,0,,,0,,0,135
56,120,13085,6623,,0,,,0,,0,206
50,106,12101,5667,,0,,,0,,0,163
51,109,12629,6031,,0,,,0,,0,123
50,107,13169,6250,,0,,,0,,0,123
57,124,13995,7207,,0,,,0,,0,220
47,97,11279,5193,,0,,,0,,0,101
47,100,11739,5425,,0,,,0,,0,112
50,106,12101,5667,,0,,,0,,0,115
47,97,11279,5193,,0,,,0,,0,100
50,104,12730,5962,,0,,,0,,0,109
51,109,12629,6031,,0,,,0,,0,168
51,109,12633,6064,,0,,,0,,0,144
56,120,13085,6623,,0,,,0,,0,208
