FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
59,105,11874,3111,,0,,,0,,0,101
66,120,12991,3597,,0,,,0,,0,123
73,138,13633,4029,,0,,,0,,0,133
62,110,12446,3208,,0,,,0,,0,102
59,105,11874,3111,,0,,,0,,0,100
66,119,13045,3597,,0,,,0,,0,168
69,124,13148,3694,,0,,,0,,0,128
66,120,12991,3597,,0,,,0,,0,144
63,115,12912,3500,,0,,,0,,0,123
69,127,13373,3889,,0,,,0,,0,133
62,110,12446,3208,,0,,,0,,0,103
65,116,12598,3500,,0,,,0,,0,115
65,116,12598,3500,,0,,,0,,0,116
63,114,12778,3403,,0,,,0,,0,119
66,119,13045,3597,,0,,,0,,0,123
63,115,12912,3500,,0,,,0,,0,162
69,127,13348,3889,,0,,,0,,0,198
70,130,12665,3773,,0,,,0,,0,208
62,109,12507,3111,,0,,,0,,0,107
71,134,13484,4040,,0,,,0,,0,220
70,130,12665,3773,,0,,,0,,0,206
65,116,12598,3500,,0,,,0,,0,163
65,116,12598,3500,,0,,,0,,0,161
62,111,12545,3305,,0,,,0,,0,109
60,108,12407,3208,,0,,,0,,0,113
60,108,12347,3111,,0,,,0,,0,112
69,124,13148,3694,,0,,,0,,0,135
