FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
67,139,19133,12155,,0,,,0,,0,160
63,131,18283,11246,,0,,,0,,0,107
64,133,18950,11742,,0,,,0,,0,113
68,146,19836,12826,,0,,,0,,0,135
65,139,19679,12462,,0,,,0,,0,123
73,156,18750,11628,,0,,,0,,0,207
67,139,19133,12155,,0,,,0,,0,115
74,161,19696,12235,,0,,,0,,0,220
67,139,19133,12155,,0,,,0,,0,162
68,143,19992,12649,,0,,,0,,0,123
63,128,18005,11096,,0,,,0,,0,101
64,134,18797,11727,,0,,,0,,0,109
68,143,19992,12649,,0,,,0,,0,144
68,146,19836,12826,,0,,,0,,0,128
63,132,18218,11276,,0,,,0,,0,102
64,132,18779,11802,,0,,,0,,0,112
65,137,18950,11954,,0,,,0,,0,119
65,139,19679,12462,,0,,,0,,0,162
63,132,18218,11276,,0,,,0,,0,102
67,139,19133,12155,,0,,,0,,0,116
76,166,20699,12907,,0,,,0,,0,133
68,143,20064,12946,,0,,,0,,0,123
68,143,20064,12946,,0,,,0,,0,168
71,153,20386,12692,,0,,,0,,0,133
73,156,18750,11628,,0,,,0,,0,206
71,152,20176,12614,,0,,,0,,0,198
63,128,18005,11096,,0,,,0,,0,100
