FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
81,153,16544,7121,,0,,,0,,0,168
90,171,17602,8011,,0,,,0,,0,220
79,149,16528,7327,,0,,,0,,0,162
90,167,17047,7706,,0,,,0,,0,207
84,157,17062,7648,,0,,,0,,0,135
80,149,15987,6870,,0,,,0,,0,116
84,161,17379,7823,,0,,,0,,0,198
74,136,15677,6641,,0,,,0,,0,100
86,162,17584,8160,,0,,,0,,0,133
82,153,16199,7126,,0,,,0,,0,123
80,149,15987,6870,,0,,,0,,0,162
90,167,17047,7706,,0,,,0,,0,206
74,136,15677,6641,,0,,,0,,0,101
79,149,16528,7327,,0,,,0,,0,123
77,141,15983,6975,,0,,,0,,0,102
80,149,15987,6870,,0,,,0,,0,115
81,153,16544,7121,,0,,,0,,0,123
79,147,15982,7036,,0,,,0,,0,119
84,157,17062,7648,,0,,,0,,0,128
75,140,16144,7026,,0,,,0,,0,113
77,143,16409,7153,,0,,,0,,0,109
77,141,15983,6975,,0,,,0,,0,102
75,139,15920,7028,,0,,,0,,0,112
80,149,15987,6870,,0,,,0,,0,160
92,175,18804,8820,,0,,,0,,0,133
82,153,16199,7126,,0,,,0,,0,144
74,138,16154,6949,,0,,,0,,0,107
