FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
65,126,7322,4016,,0,,,0,,0,123
67,127,7865,4334,,0,,,0,,0,144
60,112,6751,3594,,0,,,0,,0,101
67,127,7865,4334,,0,,,0,,0,123
65,126,7322,4016,,0,,,0,,0,168
60,112,6751,3594,,0,,,0,,0,100
61,115,6943,3744,,0,,,0,,0,112
67,126,7554,4128,,0,,,0,,0,162
64,120,7378,4039,,0,,,0,,0,109
75,147,8293,4818,,0,,,0,,0,220
64,121,7436,3943,,0,,,0,,0,119
65,125,7491,4136,,0,,,0,,0,123
74,139,7400,4318,,0,,,0,,0,208
63,118,7123,3734,,0,,,0,,0,102
67,126,7554,4128,,0,,,0,,0,115
68,133,7954,4468,,0,,,0,,0,133
63,118,7123,3734,,0,,,0,,0,102
76,151,9137,5263,,0,,,0,,0,133
61,114,6769,3608,,0,,,0,,0,107
65,125,7491,4136,,0,,,0,,0,162
61,116,7043,3712,,0,,,0,,0,113
67,126,7554,4128,,0,,,0,,0,116
71,138,8110,4690,,0,,,0,,0,198
67,129,7925,4338,,0,,,0,,0,128
67,129,7925,4338,,0,,,0,,0,135
67,126,7554,4128,,0,,,0,,0,161
74,139,7400,4318,,0,,,0,,0,206
