FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
63,127,19705,12629,,0,,,0,,0,206
55,110,18569,11437,,0,,,0,,0,123
63,127,19705,12629,,0,,,0,,0,208
58,118,20389,13212,,0,,,0,,0,133
52,104,17130,10215,,0,,,0,,0,109
52,108,17474,10606,,0,,,0,,0,162
55,110,18569,11437,,0,,,0,,0,144
55,109,18225,11510,,0,,,0,,0,116
61,131,21025,13748,,0,,,0,,0,133
55,109,18225,11510,,0,,,0,,0,161
64,130,20380,13268,,0,,,0,,0,220
52,103,17221,10105,,0,,,0,,0,113
51,101,16349,9322,,0,,,0,,0,100
51,103,16819,9815,,0,,,0,,0,103
51,101,16349,9322,,0,,,0,,0,101
55,109,18225,11510,,0,,,0,,0,163
51,103,16819,9815,,0,,,0,,0,102
51,105,17101,10101,,0,,,0,,0,119
55,112,19044,12049,,0,,,0,,0,135
58,120,19214,12333,,0,,,0,,0,198
52,103,17058,9860,,0,,,0,,0,112
55,112,18731,11849,,0,,,0,,0,168
51,102,16753,9857,,0,,,0,,0,107
55,112,18731,11849,,0,,,0,,0,123
55,112,19044,12049,,0,,,0,,0,128
55,109,18225,11510,,0,,,0,,0,115
52,108,17474,10606,,0,,,0,,0,123
