FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
73,122,16741,8659,,0,,,0,,0,112
74,123,16760,8959,,0,,,0,,0,109
88,149,17922,10080,,0,,,0,,0,206
78,131,17486,9521,,0,,,0,,0,162
78,132,16870,9381,,0,,,0,,0,168
88,152,18645,10565,,0,,,0,,0,220
72,119,15821,8122,,0,,,0,,0,101
74,123,16788,8822,,0,,,0,,0,113
81,135,17599,9570,,0,,,0,,0,135
84,145,18843,10732,,0,,,0,,0,198
78,131,17486,9521,,0,,,0,,0,123
75,125,16872,9326,,0,,,0,,0,119
76,128,16733,8937,,0,,,0,,0,162
82,140,17794,9677,,0,,,0,,0,133
73,121,16141,8465,,0,,,0,,0,107
72,119,15821,8122,,0,,,0,,0,100
76,128,16733,8937,,0,,,0,,0,115
88,149,17922,10080,,0,,,0,,0,207
78,131,17106,9416,,0,,,0,,0,144
78,132,16870,9381,,0,,,0,,0,123
89,155,19642,11319,,0,,,0,,0,133
73,122,16269,8645,,0,,,0,,0,102
73,122,16269,8645,,0,,,0,,0,102
76,128,16733,8937,,0,,,0,,0,161
81,135,17599,9570,,0,,,0,,0,128
78,131,17106,9416,,0,,,0,,0,123
76,128,16733,8937,,0,,,0,,0,116
