FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
64,123,6460,2910,,0,,,0,,0,119
68,131,6902,3268,,0,,,0,,0,135
74,149,7647,3726,,0,,,0,,0,133
67,127,6513,3073,,0,,,0,,0,115
69,135,6920,3293,,0,,,0,,0,133
63,119,6423,2901,,0,,,0,,0,113
67,127,6513,3073,,0,,,0,,0,161
63,119,6144,2800,,0,,,0,,0,102
76,150,7555,3722,,0,,,0,,0,220
62,116,6075,2734,,0,,,0,,0,100
71,141,7120,3367,,0,,,0,,0,198
67,127,6513,3073,,0,,,0,,0,116
63,120,6204,2870,,0,,,0,,0,109
68,129,7004,3202,,0,,,0,,0,123
68,131,6902,3268,,0,,,0,,0,128
67,128,7083,3210,,0,,,0,,0,123
75,145,7112,3427,,0,,,0,,0,207
67,127,6513,3073,,0,,,0,,0,162
67,130,6888,3129,,0,,,0,,0,168
75,145,7112,3427,,0,,,0,,0,206
67,130,6888,3129,,0,,,0,,0,123
62,116,6075,2734,,0,,,0,,0,101
63,118,6124,2799,,0,,,0,,0,107
67,128,7083,3210,,0,,,0,,0,162
68,129,7004,3202,,0,,,0,,0,144
63,119,6420,2853,,0,,,0,,0,112
63,119,6144,2800,,0,,,0,,0,102
