FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
111,145,11865,3218,,0,,,0,,0,107
119,156,11882,3346,,0,,,0,,0,162
108,141,11728,3111,,0,,,0,,0,101
129,172,12883,3713,,0,,,0,,0,198
117,155,12402,3431,,0,,,0,,0,123
112,148,11811,3262,,0,,,0,,0,109
116,152,11867,3234,,0,,,0,,0,119
110,144,11931,3409,,0,,,0,,0,112
122,161,12457,3583,,0,,,0,,0,128
121,160,12155,3465,,0,,,0,,0,168
111,145,11818,3343,,0,,,0,,0,113
119,156,11882,3346,,0,,,0,,0,160
121,160,12155,3465,,0,,,0,,0,123
108,141,11728,3111,,0,,,0,,0,100
141,187,13829,4238,,0,,,0,,0,133
136,178,13020,3691,,0,,,0,,0,206
119,156,11882,3346,,0,,,0,,0,116
119,158,12257,3541,,0,,,0,,0,144
117,155,12402,3431,,0,,,0,,0,162
119,156,11882,3346,,0,,,0,,0,115
112,146,11361,3074,,0,,,0,,0,102
119,158,12257,3541,,0,,,0,,0,123
127,168,12868,3768,,0,,,0,,0,133
122,161,12457,3583,,0,,,0,,0,135
136,178,13020,3691,,0,,,0,,0,207
112,146,11361,3074,,0,,,0,,0,102
140,183,13215,3887,,0,,,0,,0,220
