FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
76,149,17064,6268,,0,,,0,,0,101
97,195,20630,8448,,0,,,0,,0,134
77,152,17084,6345,,0,,,0,,0,109
77,152,17307,6518,,0,,,0,,0,107
83,164,18626,7184,,0,,,0,,0,122
86,168,18465,7163,,0,,,0,,0,137
97,195,20630,8448,,0,,,0,,0,138
91,183,19415,7831,,0,,,0,,0,138
93,183,19013,7496,,0,,,0,,0,155
76,149,17064,6268,,0,,,0,,0,101
93,183,19013,7496,,0,,,0,,0,160
86,168,18465,7163,,0,,,0,,0,134
94,192,20633,8411,,0,,,0,,0,140
77,154,17571,6675,,0,,,0,,0,111
80,158,17772,6750,,0,,,0,,0,115
78,155,17577,6642,,0,,,0,,0,112
91,180,18934,7450,,0,,,0,,0,147
88,179,19546,7945,,0,,,0,,0,133
77,152,17084,6345,,0,,,0,,0,108
83,164,18260,7061,,0,,,0,,0,124
80,158,17772,6750,,0,,,0,,0,119
87,174,18969,7554,,0,,,0,,0,131
97,195,20630,8448,,0,,,0,,0,138
106,207,19903,8228,,0,,,0,,0,170
80,159,17841,6870,,0,,,0,,0,116
77,151,16933,6317,,0,,,0,,0,104
83,164,18390,7134,,0,,,0,,0,122
77,152,17084,6345,,0,,,0,,0,109
77,151,16933,6317,,0,,,0,,0,104
77,152,17084,6345,,0,,,0,,0,107
92,186,20010,8044,,0,,,0,,0,141
83,164,18626,7184,,0,,,0,,0,127
82,162,17983,7061,,0,,,0,,0,123
