FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
71,132,15537,6499,,0,,,0,,0,104
72,136,15837,6731,,0,,,0,,0,113
72,135,15853,6710,,0,,,0,,0,112
92,178,18308,8645,,0,,,0,,0,170
81,157,17197,7767,,0,,,0,,0,141
72,134,15530,6489,,0,,,0,,0,107
72,134,15530,6489,,0,,,0,,0,108
77,148,16051,6731,,0,,,0,,0,131
71,130,15389,6420,,0,,,0,,0,101
75,142,15927,6683,,0,,,0,,0,127
82,157,16710,7429,,0,,,0,,0,139
71,132,15537,6499,,0,,,0,,0,104
78,152,16459,7185,,0,,,0,,0,133
86,168,18757,8702,,0,,,0,,0,138
75,144,15532,6596,,0,,,0,,0,137
86,168,18757,8702,,0,,,0,,0,134
75,144,15532,6596,,0,,,0,,0,134
71,133,15949,6756,,0,,,0,,0,107
71,130,15389,6420,,0,,,0,,0,102
82,157,16432,7098,,0,,,0,,0,155
79,153,15836,6861,,0,,,0,,0,147
72,136,15522,6516,,0,,,0,,0,115
72,134,15530,6489,,0,,,0,,0,109
84,165,17846,8266,,0,,,0,,0,140
72,138,15817,6726,,0,,,0,,0,116
75,141,15399,6546,,0,,,0,,0,122
72,136,15522,6516,,0,,,0,,0,119
73,139,15838,6579,,0,,,0,,0,123
82,157,16432,7098,,0,,,0,,0,160
75,142,15900,6606,,0,,,0,,0,124
75,142,15927,6683,,0,,,0,,0,122
72,134,15530,6489,,0,,,0,,0,109
86,168,18757,8702,,0,,,0,,0,138
