FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
91,181,21132,9217,,0,,,0,,0,160
78,155,19980,8422,,0,,,0,,0,111
81,163,20008,8417,,0,,,0,,0,127
77,153,19856,8256,,0,,,0,,0,109
76,149,19687,8065,,0,,,0,,0,101
93,191,22898,10535,,0,,,0,,0,140
83,164,19973,8260,,0,,,0,,0,124
77,153,19856,8256,,0,,,0,,0,107
94,192,22721,10490,,0,,,0,,0,134
78,156,20317,8467,,0,,,0,,0,112
81,163,20008,8417,,0,,,0,,0,122
104,206,22061,9983,,0,,,0,,0,170
80,159,20056,8379,,0,,,0,,0,115
89,178,21062,9223,,0,,,0,,0,147
82,163,19851,8275,,0,,,0,,0,122
76,149,19687,8065,,0,,,0,,0,101
94,192,22721,10490,,0,,,0,,0,138
77,153,19856,8256,,0,,,0,,0,109
87,174,21218,9123,,0,,,0,,0,131
80,159,20056,8379,,0,,,0,,0,119
82,162,19763,8323,,0,,,0,,0,123
77,152,19592,8131,,0,,,0,,0,104
89,180,21462,9473,,0,,,0,,0,138
77,153,20136,8238,,0,,,0,,0,107
83,166,19971,8321,,0,,,0,,0,134
87,179,21964,9777,,0,,,0,,0,133
83,166,19971,8321,,0,,,0,,0,137
77,152,19592,8131,,0,,,0,,0,104
77,153,19856,8256,,0,,,0,,0,108
94,192,22721,10490,,0,,,0,,0,138
80,160,20300,8329,,0,,,0,,0,116
92,186,22652,10230,,0,,,0,,0,141
91,181,21132,9217,,0,,,0,,0,155
