FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
79,154,8244,4624,,0,,,0,,0,138
79,154,8244,4624,,0,,,0,,0,138
75,146,7735,4156,,0,,,0,,0,155
67,129,7886,4317,,0,,,0,,0,122
62,117,7081,3704,,0,,,0,,0,101
72,141,7894,4345,,0,,,0,,0,133
79,154,8244,4624,,0,,,0,,0,134
66,124,7997,4271,,0,,,0,,0,113
70,131,8102,4451,,0,,,0,,0,122
66,127,7983,4246,,0,,,0,,0,116
68,129,7839,4386,,0,,,0,,0,123
70,134,7732,4154,,0,,,0,,0,137
74,144,7545,4225,,0,,,0,,0,140
67,129,7713,4237,,0,,,0,,0,124
81,157,7314,4089,,0,,,0,,0,170
72,140,7436,4183,,0,,,0,,0,147
76,148,8093,4504,,0,,,0,,0,141
66,123,7629,4180,,0,,,0,,0,109
67,129,7886,4317,,0,,,0,,0,127
65,122,7910,4166,,0,,,0,,0,107
75,146,7735,4156,,0,,,0,,0,160
62,117,7081,3704,,0,,,0,,0,102
75,145,7915,4330,,0,,,0,,0,139
66,126,7852,4187,,0,,,0,,0,115
65,121,7639,3985,,0,,,0,,0,104
66,123,7629,4180,,0,,,0,,0,108
66,124,7943,4242,,0,,,0,,0,112
66,126,7852,4187,,0,,,0,,0,119
66,123,7629,4180,,0,,,0,,0,109
72,138,7708,4352,,0,,,0,,0,131
65,121,7639,3985,,0,,,0,,0,104
66,123,7629,4180,,0,,,0,,0,107
70,134,7732,4154,,0,,,0,,0,134
