FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
60,120,18710,11069,,0,,,0,,0,134
73,151,21512,12736,,0,,,0,,0,170
60,118,19058,10903,,0,,,0,,0,124
67,133,19912,12111,,0,,,0,,0,160
57,111,18617,10442,,0,,,0,,0,112
57,113,18808,10611,,0,,,0,,0,116
69,141,21565,13105,,0,,,0,,0,138
66,132,20518,12379,,0,,,0,,0,139
69,141,21565,13105,,0,,,0,,0,134
57,110,18246,10247,,0,,,0,,0,109
57,110,18246,10247,,0,,,0,,0,108
60,118,19435,11134,,0,,,0,,0,122
57,112,18962,10812,,0,,,0,,0,113
64,129,20804,12749,,0,,,0,,0,133
57,113,18467,10690,,0,,,0,,0,119
61,118,19005,10989,,0,,,0,,0,123
57,110,18246,10247,,0,,,0,,0,108
66,136,20918,13086,,0,,,0,,0,140
60,118,18937,10889,,0,,,0,,0,122
60,120,18710,11069,,0,,,0,,0,137
56,108,17931,9742,,0,,,0,,0,102
67,133,19912,12111,,0,,,0,,0,155
57,113,18467,10690,,0,,,0,,0,115
67,135,21055,12796,,0,,,0,,0,141
57,109,17876,9963,,0,,,0,,0,104
64,128,19775,11994,,0,,,0,,0,147
69,141,21565,13105,,0,,,0,,0,138
64,126,20654,12462,,0,,,0,,0,131
56,108,17931,9742,,0,,,0,,0,101
57,109,17876,9963,,0,,,0,,0,104
60,118,19435,11134,,0,,,0,,0,127
57,110,18455,10452,,0,,,0,,0,107
57,110,18246,10247,,0,,,0,,0,110
