FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
79,150,21465,14104,,0,,,0,,0,134
68,126,18968,11723,,0,,,0,,0,122
68,124,19279,11893,,0,,,0,,0,116
67,123,18862,11494,,0,,,0,,0,115
64,117,18158,11030,,0,,,0,,0,107
79,150,21465,14104,,0,,,0,,0,138
74,140,19949,12794,,0,,,0,,0,139
68,126,18628,11512,,0,,,0,,0,124
64,114,17720,10717,,0,,,0,,0,102
69,126,18945,11799,,0,,,0,,0,123
64,116,17545,10539,,0,,,0,,0,104
79,150,21465,14104,,0,,,0,,0,138
75,142,20354,13116,,0,,,0,,0,141
65,119,18405,11214,,0,,,0,,0,113
64,114,17720,10717,,0,,,0,,0,101
67,120,18507,11147,,0,,,0,,0,109
77,146,21258,14085,,0,,,0,,0,140
64,116,17545,10539,,0,,,0,,0,104
65,118,18183,11244,,0,,,0,,0,112
70,128,19127,11880,,0,,,0,,0,122
75,140,19564,12464,,0,,,0,,0,160
84,160,21636,14224,,0,,,0,,0,170
75,139,20744,13219,,0,,,0,,0,133
71,130,18727,11720,,0,,,0,,0,134
75,140,19564,12464,,0,,,0,,0,155
72,134,19597,12476,,0,,,0,,0,131
74,138,19929,12643,,0,,,0,,0,147
67,120,18507,11147,,0,,,0,,0,108
71,130,18727,11720,,0,,,0,,0,137
67,120,18507,11147,,0,,,0,,0,109
67,120,18507,11147,,0,,,0,,0,107
67,123,18862,11494,,0,,,0,,0,119
68,126,18968,11723,,0,,,0,,0,127
