FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
75,146,20672,12129,,0,,,0,,0,115
75,143,20272,11764,,0,,,0,,0,107
75,143,20272,11764,,0,,,0,,0,108
78,151,20908,12103,,0,,,0,,0,122
82,163,21063,12331,,0,,,0,,0,147
83,166,22801,13580,,0,,,0,,0,133
85,168,22693,13486,,0,,,0,,0,138
76,150,21476,12840,,0,,,0,,0,127
75,143,20272,11764,,0,,,0,,0,109
78,152,20981,12238,,0,,,0,,0,124
72,137,19879,11655,,0,,,0,,0,102
85,168,21977,13031,,0,,,0,,0,155
75,143,20272,11764,,0,,,0,,0,109
85,168,21977,13031,,0,,,0,,0,160
89,178,23771,14777,,0,,,0,,0,138
77,150,20627,12114,,0,,,0,,0,123
86,172,23420,14015,,0,,,0,,0,141
79,154,20661,12029,,0,,,0,,0,134
79,154,20661,12029,,0,,,0,,0,137
72,140,20636,12187,,0,,,0,,0,107
75,146,20672,12129,,0,,,0,,0,119
89,178,23771,14777,,0,,,0,,0,138
89,178,23771,14777,,0,,,0,,0,134
72,137,19879,11655,,0,,,0,,0,101
88,177,24271,14952,,0,,,0,,0,140
76,148,21050,12270,,0,,,0,,0,116
96,190,23628,14513,,0,,,0,,0,170
72,140,20496,11975,,0,,,0,,0,104
73,143,20795,12384,,0,,,0,,0,113
83,162,21989,12878,,0,,,0,,0,131
76,150,21476,12840,,0,,,0,,0,122
73,142,20498,12077,,0,,,0,,0,112
72,140,20496,11975,,0,,,0,,0,104
