FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
69,125,13289,3791,,0,,,0,,0,139
62,109,12308,3111,,0,,,0,,0,123
63,113,12221,3305,,0,,,0,,0,137
65,119,13246,3500,,0,,,0,,0,133
71,134,14264,4278,,0,,,0,,0,138
63,113,12221,3305,,0,,,0,,0,134
59,105,11954,3014,,0,,,0,,0,107
68,124,13364,3694,,0,,,0,,0,141
69,125,13001,3791,,0,,,0,,0,155
75,141,14178,4469,,0,,,0,,0,170
62,111,12531,3208,,0,,,0,,0,122
63,113,12372,3305,,0,,,0,,0,127
70,133,13930,4180,,0,,,0,,0,140
60,107,12019,3014,,0,,,0,,0,113
59,103,11615,2916,,0,,,0,,0,102
62,110,12296,3111,,0,,,0,,0,119
60,106,11790,3111,,0,,,0,,0,112
63,113,12372,3305,,0,,,0,,0,122
69,125,13001,3791,,0,,,0,,0,160
62,111,12533,3111,,0,,,0,,0,116
62,108,12203,3014,,0,,,0,,0,110
63,112,12465,3208,,0,,,0,,0,124
59,105,11879,2916,,0,,,0,,0,104
62,110,12296,3111,,0,,,0,,0,115
59,105,11879,2916,,0,,,0,,0,104
71,134,14264,4278,,0,,,0,,0,138
71,134,14264,4278,,0,,,0,,0,134
62,108,12203,3014,,0,,,0,,0,108
62,108,12203,3014,,0,,,0,,0,108
65,116,12853,3403,,0,,,0,,0,131
59,103,11615,2916,,0,,,0,,0,101
69,124,13311,3694,,0,,,0,,0,147
62,108,12203,3014,,0,,,0,,0,109
