FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
65,124,6254,2936,,0,,,0,,0,122
71,139,7164,3485,,0,,,0,,0,141
65,124,6355,3011,,0,,,0,,0,124
75,150,7701,3872,,0,,,0,,0,140
68,128,6583,3128,,0,,,0,,0,137
64,120,6261,2940,,0,,,0,,0,112
69,135,6789,3233,,0,,,0,,0,147
72,139,7467,3587,,0,,,0,,0,139
63,118,6103,2728,,0,,,0,,0,104
63,116,6048,2715,,0,,,0,,0,101
64,122,6194,2902,,0,,,0,,0,115
64,121,6319,2929,,0,,,0,,0,123
65,125,6241,3004,,0,,,0,,0,127
63,118,6103,2728,,0,,,0,,0,104
64,119,6094,2830,,0,,,0,,0,107
76,151,7765,3891,,0,,,0,,0,134
64,121,6293,2957,,0,,,0,,0,113
76,151,7765,3891,,0,,,0,,0,138
67,129,6713,3178,,0,,,0,,0,131
64,119,6094,2830,,0,,,0,,0,109
63,118,6245,2782,,0,,,0,,0,107
64,119,6094,2830,,0,,,0,,0,108
64,123,6301,2944,,0,,,0,,0,116
77,150,6701,3358,,0,,,0,,0,170
68,128,6583,3128,,0,,,0,,0,134
72,139,6930,3365,,0,,,0,,0,160
68,133,6791,3305,,0,,,0,,0,133
64,122,6194,2902,,0,,,0,,0,119
64,119,6094,2830,,0,,,0,,0,109
65,125,6241,3004,,0,,,0,,0,122
72,139,6930,3365,,0,,,0,,0,155
76,151,7765,3891,,0,,,0,,0,138
63,116,6048,2715,,0,,,0,,0,102
