FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
79,112,9064,3778,,0,,,0,,0,107
84,121,9017,3962,,0,,,0,,0,137
101,149,9750,4388,,0,,,0,,0,170
87,127,9710,4476,,0,,,0,,0,133
96,142,10481,4870,,0,,,0,,0,138
76,108,8535,3502,,0,,,0,,0,101
95,140,10418,4963,,0,,,0,,0,140
81,117,8925,3814,,0,,,0,,0,124
80,113,8724,3497,,0,,,0,,0,108
80,114,9017,3738,,0,,,0,,0,112
84,120,9014,3793,,0,,,0,,0,127
83,119,9153,3884,,0,,,0,,0,122
80,113,8724,3497,,0,,,0,,0,109
80,114,8971,3962,,0,,,0,,0,123
91,132,9433,4174,,0,,,0,,0,160
91,132,9433,4174,,0,,,0,,0,155
81,115,8725,3626,,0,,,0,,0,119
80,114,9190,3956,,0,,,0,,0,113
89,130,9407,4439,,0,,,0,,0,139
96,142,10481,4870,,0,,,0,,0,138
88,128,9254,4240,,0,,,0,,0,147
81,115,8725,3626,,0,,,0,,0,115
76,108,8535,3502,,0,,,0,,0,102
81,116,8946,3863,,0,,,0,,0,116
96,142,10481,4870,,0,,,0,,0,134
84,121,9017,3962,,0,,,0,,0,134
80,113,8724,3497,,0,,,0,,0,109
91,132,9850,4592,,0,,,0,,0,141
79,112,8772,3514,,0,,,0,,0,104
84,120,9014,3793,,0,,,0,,0,122
84,122,9132,4217,,0,,,0,,0,131
80,113,8724,3497,,0,,,0,,0,108
79,112,8772,3514,,0,,,0,,0,104
