FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
78,148,19428,8262,,0,,,0,,0,133
80,153,19106,8248,,0,,,0,,0,139
73,137,18164,7245,,0,,,0,,0,122
84,163,20947,9280,,0,,,0,,0,138
83,161,20415,9060,,0,,,0,,0,140
84,163,20947,9280,,0,,,0,,0,138
80,151,18959,7912,,0,,,0,,0,147
74,137,18127,7425,,0,,,0,,0,124
74,139,18311,7492,,0,,,0,,0,134
69,126,16944,6467,,0,,,0,,0,102
80,152,18606,8010,,0,,,0,,0,160
80,152,18606,8010,,0,,,0,,0,155
70,132,17410,7002,,0,,,0,,0,116
73,137,18097,7227,,0,,,0,,0,127
70,129,17245,6850,,0,,,0,,0,107
69,128,17033,6746,,0,,,0,,0,104
70,129,17245,6850,,0,,,0,,0,109
72,134,17689,7024,,0,,,0,,0,119
91,175,20149,8888,,0,,,0,,0,170
74,135,18096,7290,,0,,,0,,0,123
84,163,20947,9280,,0,,,0,,0,134
70,129,17245,6850,,0,,,0,,0,109
69,128,17429,6696,,0,,,0,,0,107
74,139,18311,7492,,0,,,0,,0,137
70,131,17634,6948,,0,,,0,,0,113
70,129,17245,6850,,0,,,0,,0,108
77,144,19190,7938,,0,,,0,,0,131
73,137,18097,7227,,0,,,0,,0,122
70,130,17649,7114,,0,,,0,,0,112
80,153,19742,8544,,0,,,0,,0,141
69,126,16944,6467,,0,,,0,,0,101
69,128,17033,6746,,0,,,0,,0,104
72,134,17689,7024,,0,,,0,,0,115
