FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
73,142,14628,8127,,0,,,0,,0,138
68,130,12656,6728,,0,,,0,,0,147
64,120,12405,6374,,0,,,0,,0,127
63,116,12747,6418,,0,,,0,,0,113
63,117,12369,6152,,0,,,0,,0,119
64,118,12628,6293,,0,,,0,,0,123
68,129,13520,7067,,0,,,0,,0,133
63,115,12334,6116,,0,,,0,,0,107
64,120,12618,6465,,0,,,0,,0,124
64,120,12405,6374,,0,,,0,,0,122
68,126,13617,7200,,0,,,0,,0,131
63,115,12334,6116,,0,,,0,,0,109
63,118,12870,6470,,0,,,0,,0,116
63,117,12369,6152,,0,,,0,,0,115
63,114,12098,6082,,0,,,0,,0,104
80,155,14589,8024,,0,,,0,,0,170
63,115,12334,6116,,0,,,0,,0,109
72,134,14008,7427,,0,,,0,,0,141
64,119,12427,6417,,0,,,0,,0,122
63,114,12098,6082,,0,,,0,,0,104
72,140,14138,7758,,0,,,0,,0,140
63,115,12684,6381,,0,,,0,,0,112
73,142,14628,8127,,0,,,0,,0,134
72,135,13435,7171,,0,,,0,,0,155
72,134,13782,7267,,0,,,0,,0,139
67,124,13231,6857,,0,,,0,,0,137
60,110,11658,5903,,0,,,0,,0,101
60,110,11658,5903,,0,,,0,,0,102
72,135,13435,7171,,0,,,0,,0,160
63,115,12334,6116,,0,,,0,,0,108
60,111,11892,6034,,0,,,0,,0,107
73,142,14628,8127,,0,,,0,,0,138
67,124,13231,6857,,0,,,0,,0,134
