FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
168,303.0,29817,13946,,0,,,0,,0,222
163,298.0,29472,13727,,0,,,0,,0,204
132,250.0,27308,12391,,0,,,0,,0,244
125,236.0,25363,11587,,0,,,0,,0,211
103,194.0,21215,9396,,0,,,0,,0,163
99,187.0,21257,9166,,0,,,0,,0,168
111,212.0,22096,9638,,0,,,0,,0,195
110,212.0,21760,9558,,0,,,0,,0,197
187,,29014,12558,,0,,,0,,0,201
99,187.0,21257,9166,,0,,,0,,0,143
95,185.0,21147,9286,,0,,,0,,0,173
99,190.0,21299,9473,,0,,,0,,0,183
99,190.0,21401,9499,,0,,,0,,0,205
120,228.0,24563,11154,,0,,,0,,0,227
150,279.0,26460,11993,,0,,,0,,0,199
103,194.0,21215,9396,,0,,,0,,0,145
131,247.0,27205,12489,,0,,,0,,0,201
169,306.0,30405,13991,,0,,,0,,0,203
99,189.0,21392,9381,,0,,,0,,0,192
187,,29014,12558,,0,,,0,,0,194
139,259.0,26813,12414,,0,,,0,,0,243
91,172.0,20702,8761,,0,,,0,,0,142
125,236.0,25363,11587,,0,,,0,,0,198
91,172.0,20702,8761,,0,,,0,,0,123
96,187.0,21771,9589,,0,,,0,,0,183
96,187.0,21771,9589,,0,,,0,,0,167
