FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
197,,32834,18558,,0,,,0,,0,203
221,,27805,12850,,0,,,0,,0,201
151,248.0,25707,13548,,0,,,0,,0,198
118,196.0,22846,11589,,0,,,0,,0,168
143,238.0,26440,14216,,0,,,0,,0,227
116,196.0,22759,11680,,0,,,0,,0,183
119,200.0,22793,11755,,0,,,0,,0,183
221,,27805,12850,,0,,,0,,0,194
123,203.0,23051,11852,,0,,,0,,0,163
163,263.0,29477,15981,,0,,,0,,0,244
107,180.0,21842,11113,,0,,,0,,0,123
107,180.0,21842,11113,,0,,,0,,0,142
118,196.0,22846,11589,,0,,,0,,0,143
178,290.0,32248,17989,,0,,,0,,0,199
123,203.0,23051,11852,,0,,,0,,0,145
151,248.0,25707,13548,,0,,,0,,0,211
159,259.0,28275,15227,,0,,,0,,0,201
136,224.0,26917,14152,,0,,,0,,0,197
118,198.0,22868,11774,,0,,,0,,0,192
119,200.0,22795,11750,,0,,,0,,0,205
116,196.0,22759,11680,,0,,,0,,0,167
192,310.0,32966,18441,,0,,,0,,0,204
166,272.0,30924,17190,,0,,,0,,0,242
134,222.0,26845,14464,,0,,,0,,0,195
115,195.0,21850,11091,,0,,,0,,0,173
196,315.0,32688,18453,,0,,,0,,0,222
