FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
67,128,13772,3926,,0,,,0,,0,164
72,142,13559,3933,,0,,,0,,0,197
67,128,13772,3926,,0,,,0,,0,145
67,124,13227,3770,,0,,,0,,0,192
62,114,12945,3403,,0,,,0,,0,143
81,165,14118,4265,,0,,,0,,0,202
97,201,17159,5042,,0,,,0,,0,204
72,141,13504,4033,,0,,,0,,0,195
66,124,13705,3791,,0,,,0,,0,144
66,124,13705,3791,,0,,,0,,0,168
62,114,12945,3403,,0,,,0,,0,123
81,166,14059,4203,,0,,,0,,0,244
99,205,16221,4669,,0,,,0,,0,223
64,121,13279,3791,,0,,,0,,0,168
111,231,16953,4621,,0,,,0,,0,201
75,150,13574,4091,,0,,,0,,0,227
67,125,13575,3889,,0,,,0,,0,205
111,231,16953,4621,,0,,,0,,0,195
79,158,13616,4103,,0,,,0,,0,199
84,172,14282,4331,,0,,,0,,0,243
89,185,15733,4698,,0,,,0,,0,200
79,158,13616,4103,,0,,,0,,0,211
65,123,13300,3851,,0,,,0,,0,174
67,125,13485,3889,,0,,,0,,0,183
64,121,13279,3791,,0,,,0,,0,183
101,206,17367,4987,,0,,,0,,0,203
