FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
78,149,17048,6833,,0,,,0,,0,183
77,148,17375,6878,,0,,,0,,0,143
77,148,17201,6744,,0,,,0,,0,192
101,201,23085,10155,,0,,,0,,0,202
70,135,17458,6984,,0,,,0,,0,123
81,156,17800,7091,,0,,,0,,0,163
70,135,17458,6984,,0,,,0,,0,142
123,247,22732,9609,,0,,,0,,0,222
140,278,23468,9613,,0,,,0,,0,195
119,243,23072,9971,,0,,,0,,0,204
75,148,16955,6725,,0,,,0,,0,173
87,170,19420,8335,,0,,,0,,0,195
105,209,22519,9849,,0,,,0,,0,243
96,190,21264,9613,,0,,,0,,0,199
78,149,17019,6723,,0,,,0,,0,205
112,226,22502,9729,,0,,,0,,0,200
75,145,17243,6940,,0,,,0,,0,167
75,145,17243,6940,,0,,,0,,0,183
84,170,18675,7947,,0,,,0,,0,197
96,190,21264,9613,,0,,,0,,0,211
81,156,17800,7091,,0,,,0,,0,145
94,184,20880,9409,,0,,,0,,0,227
123,247,23483,9843,,0,,,0,,0,203
102,202,22705,10008,,0,,,0,,0,244
77,148,17375,6878,,0,,,0,,0,168
140,278,23468,9613,,0,,,0,,0,201
