FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
97,205,7838,3509,,0,,,0,,0,204
82,175,7123,3505,,0,,,0,,0,199
87,185,7702,3738,,0,,,0,,0,244
69,137,6908,3312,,0,,,0,,0,205
76,158,6897,3331,,0,,,0,,0,197
101,210,7925,3514,,0,,,0,,0,203
95,196,7498,3460,,0,,,0,,0,200
103,213,7628,3355,,0,,,0,,0,223
93,195,8552,4038,,0,,,0,,0,243
62,124,6435,3025,,0,,,0,,0,142
68,136,6974,3197,,0,,,0,,0,168
66,135,6595,3235,,0,,,0,,0,173
69,137,6860,3252,,0,,,0,,0,192
72,144,6948,3251,,0,,,0,,0,145
75,157,6719,3205,,0,,,0,,0,195
69,138,6826,3284,,0,,,0,,0,183
62,124,6435,3025,,0,,,0,,0,123
114,237,7677,3300,,0,,,0,,0,195
81,168,7049,3409,,0,,,0,,0,227
114,237,7677,3300,,0,,,0,,0,201
88,186,8199,3940,,0,,,0,,0,202
67,136,6779,3183,,0,,,0,,0,143
82,175,7123,3505,,0,,,0,,0,211
67,136,6779,3183,,0,,,0,,0,168
72,144,6948,3251,,0,,,0,,0,163
68,136,6974,3197,,0,,,0,,0,183
