FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
147,224,15519,5986,,0,,,0,,0,202
112,170,13373,4794,,0,,,0,,0,173
154,235,15982,6131,,0,,,0,,0,243
113,169,13260,4753,,0,,,0,,0,143
127,194,14224,5263,,0,,,0,,0,197
187,280,17286,6600,,0,,,0,,0,222
142,215,15073,5678,,0,,,0,,0,199
111,167,13041,4675,,0,,,0,,0,183
104,155,12537,4356,,0,,,0,,0,142
169,255,17060,6633,,0,,,0,,0,200
114,171,13390,4848,,0,,,0,,0,183
148,225,15324,5825,,0,,,0,,0,244
118,177,13204,4785,,0,,,0,,0,145
118,177,13204,4785,,0,,,0,,0,163
179,274,18565,7167,,0,,,0,,0,204
206,311,17538,6421,,0,,,0,,0,201
104,155,12537,4356,,0,,,0,,0,123
206,311,17538,6421,,0,,,0,,0,194
111,167,13041,4675,,0,,,0,,0,167
113,169,13260,4753,,0,,,0,,0,168
142,215,15073,5678,,0,,,0,,0,211
136,206,14940,5818,,0,,,0,,0,227
128,194,14139,5348,,0,,,0,,0,195
114,170,12940,4610,,0,,,0,,0,192
114,171,13055,4737,,0,,,0,,0,205
183,276,18509,7071,,0,,,0,,0,203
