FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
63,136,19134,11633,,0,,,0,,0,123
74,169,19872,12272,,0,,,0,,0,195
78,181,20515,12744,,0,,,0,,0,227
104,246,23636,14126,,0,,,0,,0,222
66,145,19711,12199,,0,,,0,,0,183
82,190,20909,12994,,0,,,0,,0,199
69,153,19821,12072,,0,,,0,,0,163
66,148,19806,12163,,0,,,0,,0,173
66,145,19711,12199,,0,,,0,,0,167
97,239,24730,15191,,0,,,0,,0,204
68,148,20347,12334,,0,,,0,,0,168
116,276,23646,13791,,0,,,0,,0,201
100,243,24394,14738,,0,,,0,,0,203
84,199,21554,13441,,0,,,0,,0,202
63,136,19134,11633,,0,,,0,,0,142
88,207,22880,14301,,0,,,0,,0,243
68,148,20037,12121,,0,,,0,,0,192
68,148,20347,12334,,0,,,0,,0,143
69,153,19821,12072,,0,,,0,,0,145
116,276,23646,13791,,0,,,0,,0,195
82,190,20909,12994,,0,,,0,,0,211
68,149,20003,12212,,0,,,0,,0,183
93,222,23661,14703,,0,,,0,,0,200
74,171,20824,12740,,0,,,0,,0,197
85,200,22335,13806,,0,,,0,,0,244
68,149,20153,12294,,0,,,0,,0,205
