FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
91,188,20838,12037,,0,,,0,,0,202
93,193,21040,12120,,0,,,0,,0,244
73,142,18013,10564,,0,,,0,,0,192
130,262,20329,10953,,0,,,0,,0,201
75,145,18401,10562,,0,,,0,,0,183
96,198,20781,11984,,0,,,0,,0,243
89,181,20915,12331,,0,,,0,,0,199
73,143,17915,10495,,0,,,0,,0,205
84,171,19836,11559,,0,,,0,,0,227
77,151,18636,10726,,0,,,0,,0,145
103,213,19936,11151,,0,,,0,,0,200
79,161,18709,10882,,0,,,0,,0,197
72,141,17792,10348,,0,,,0,,0,173
73,141,18281,10604,,0,,,0,,0,168
108,228,18945,10406,,0,,,0,,0,204
73,141,18281,10604,,0,,,0,,0,183
81,161,18988,10978,,0,,,0,,0,195
130,262,20329,10953,,0,,,0,,0,195
68,131,17594,10228,,0,,,0,,0,142
111,230,18928,10380,,0,,,0,,0,203
89,181,20915,12331,,0,,,0,,0,211
111,232,18633,10076,,0,,,0,,0,222
74,144,18332,10447,,0,,,0,,0,143
68,131,17594,10228,,0,,,0,,0,123
74,144,18332,10447,,0,,,0,,0,168
77,151,18636,10726,,0,,,0,,0,163
