FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
113,249,22278,12182,,0,,,0,,0,203
79,172,26603,16532,,0,,,0,,0,197
84,183,27507,17186,,0,,,0,,0,227
95,212,26344,15337,,0,,,0,,0,243
72,150,24061,14648,,0,,,0,,0,168
89,202,27875,16746,,0,,,0,,0,202
113,249,23922,13104,,0,,,0,,0,222
72,150,24061,14648,,0,,,0,,0,143
76,158,24581,14928,,0,,,0,,0,145
93,208,26023,15213,,0,,,0,,0,244
85,190,27869,17206,,0,,,0,,0,211
71,150,23931,14697,,0,,,0,,0,167
111,244,22226,12184,,0,,,0,,0,204
67,137,22469,13235,,0,,,0,,0,123
74,154,23925,14703,,0,,,0,,0,183
71,150,23931,14697,,0,,,0,,0,183
69,148,23683,14827,,0,,,0,,0,173
74,153,23966,14622,,0,,,0,,0,192
85,190,27869,17206,,0,,,0,,0,199
100,226,24845,14138,,0,,,0,,0,200
76,158,24581,14928,,0,,,0,,0,163
67,137,22469,13235,,0,,,0,,0,142
74,154,24067,14783,,0,,,0,,0,205
130,279,26349,14355,,0,,,0,,0,201
130,279,26349,14355,,0,,,0,,0,195
78,170,26345,16321,,0,,,0,,0,195
