FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
112,213,17987,8112,,0,,,0,,0,211
170,305,23240,10375,,0,,,0,,0,201
93,169,19090,8735,,0,,,0,,0,143
92,169,18683,8632,,0,,,0,,0,183
83,153,17836,7960,,0,,,0,,0,142
170,305,23240,10375,,0,,,0,,0,195
153,276,23978,10961,,0,,,0,,0,203
123,230,20387,9323,,0,,,0,,0,244
119,224,19672,9076,,0,,,0,,0,202
83,153,17836,7960,,0,,,0,,0,123
95,175,18961,8698,,0,,,0,,0,163
92,169,18683,8632,,0,,,0,,0,167
90,167,18669,8608,,0,,,0,,0,173
135,249,22620,10343,,0,,,0,,0,200
148,269,23512,10684,,0,,,0,,0,204
112,213,17987,8112,,0,,,0,,0,199
94,173,18873,8605,,0,,,0,,0,205
93,169,19090,8735,,0,,,0,,0,168
101,191,18169,8278,,0,,,0,,0,195
95,175,18961,8698,,0,,,0,,0,145
109,206,18673,8562,,0,,,0,,0,227
94,172,18787,8683,,0,,,0,,0,192
125,234,20456,9427,,0,,,0,,0,243
152,274,23338,10592,,0,,,0,,0,222
102,193,18224,8161,,0,,,0,,0,197
94,173,18759,8568,,0,,,0,,0,183
