FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
76,146,8514,4567,,0,,,0,,0,143
68,131,7490,3902,,0,,,0,,0,123
78,152,8613,4644,,0,,,0,,0,163
89,178,8827,4871,,0,,,0,,0,199
91,186,8796,4840,,0,,,0,,0,202
87,171,8733,4942,,0,,,0,,0,227
75,146,8288,4565,,0,,,0,,0,167
75,147,8223,4417,,0,,,0,,0,192
113,226,7792,3823,,0,,,0,,0,203
128,253,7345,3519,,0,,,0,,0,195
95,192,8591,4666,,0,,,0,,0,244
75,146,8288,4565,,0,,,0,,0,183
115,228,7806,3890,,0,,,0,,0,222
73,145,8470,4640,,0,,,0,,0,173
76,147,8217,4526,,0,,,0,,0,205
89,178,8827,4871,,0,,,0,,0,211
102,208,8183,4314,,0,,,0,,0,200
95,194,8383,4498,,0,,,0,,0,243
78,152,8613,4644,,0,,,0,,0,145
108,219,8157,4220,,0,,,0,,0,204
83,167,9225,5102,,0,,,0,,0,195
128,253,7345,3519,,0,,,0,,0,201
80,166,9051,4996,,0,,,0,,0,197
68,131,7490,3902,,0,,,0,,0,142
75,142,7557,4114,,0,,,0,,0,183
76,146,8514,4567,,0,,,0,,0,168
