FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
115,233,20516,8982,,0,,,0,,0,204
79,147,19434,8692,,0,,,0,,0,205
120,239,19577,8196,,0,,,0,,0,203
79,146,19264,8496,,0,,,0,,0,183
79,146,19264,8496,,0,,,0,,0,167
78,145,19532,8557,,0,,,0,,0,168
76,144,19604,8904,,0,,,0,,0,173
79,150,19649,8783,,0,,,0,,0,163
96,195,21507,9840,,0,,,0,,0,202
79,150,19649,8783,,0,,,0,,0,145
79,147,18930,8388,,0,,,0,,0,192
93,186,21137,9770,,0,,,0,,0,211
119,239,19500,8195,,0,,,0,,0,222
84,166,21155,9945,,0,,,0,,0,197
102,204,21201,9755,,0,,,0,,0,243
110,220,20257,9034,,0,,,0,,0,200
71,131,17966,7697,,0,,,0,,0,123
99,199,20899,9690,,0,,,0,,0,244
135,268,19807,8055,,0,,,0,,0,201
71,131,17966,7697,,0,,,0,,0,142
135,268,19807,8055,,0,,,0,,0,195
85,166,20967,9818,,0,,,0,,0,195
79,148,19550,8632,,0,,,0,,0,183
78,145,19532,8557,,0,,,0,,0,143
89,176,21085,10108,,0,,,0,,0,227
93,186,21137,9770,,0,,,0,,0,199
