FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
101,194,21353,9443,,0,,,0,,0,174
84,159,19910,8379,,0,,,0,,0,141
101,194,21353,9443,,0,,,0,,0,174
105,201,22007,9936,,0,,,0,,0,175
89,169,20687,8713,,0,,,0,,0,144
97,184,21048,9165,,0,,,0,,0,154
92,175,20681,8973,,0,,,0,,0,160
86,164,19964,8227,,0,,,0,,0,131
105,201,22007,9936,,0,,,0,,0,180
92,177,20660,8878,,0,,,0,,0,135
102,197,22396,9957,,0,,,0,,0,159
92,175,20681,8973,,0,,,0,,0,154
89,170,20761,8974,,0,,,0,,0,155
98,190,21481,9386,,0,,,0,,0,167
