FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
134,195,14123,5551,,0,,,0,,0,180
131,193,13818,5256,,0,,,0,,0,159
116,171,11662,4243,,0,,,0,,0,135
108,158,11167,3908,,0,,,0,,0,131
112,164,11421,4138,,0,,,0,,0,144
134,195,14123,5551,,0,,,0,,0,175
129,189,13046,4914,,0,,,0,,0,174
129,189,13046,4914,,0,,,0,,0,174
115,169,11800,4261,,0,,,0,,0,154
115,169,11800,4261,,0,,,0,,0,160
106,155,11097,3777,,0,,,0,,0,141
121,178,11965,4475,,0,,,0,,0,154
112,164,11831,4373,,0,,,0,,0,155
124,184,12246,4567,,0,,,0,,0,167
