FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
83,152,20494,13090,,0,,,0,,0,175
84,156,20891,13700,,0,,,0,,0,175
84,156,20891,13700,,0,,,0,,0,180
80,147,19653,12692,,0,,,0,,0,167
83,152,20494,13090,,0,,,0,,0,174
77,141,18299,11718,,0,,,0,,0,154
72,130,17970,11270,,0,,,0,,0,144
75,135,18459,11679,,0,,,0,,0,160
84,155,21756,14159,,0,,,0,,0,159
75,133,18510,11540,,0,,,0,,0,155
72,127,17387,10801,,0,,,0,,0,131
69,124,17601,11013,,0,,,0,,0,141
75,136,17999,11427,,0,,,0,,0,135
75,135,18459,11679,,0,,,0,,0,155
