FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
84,159,21119,10493,,0,,,0,,0,160
96,185,23317,11911,,0,,,0,,0,175
96,185,23317,11911,,0,,,0,,0,180
88,169,21535,10696,,0,,,0,,0,154
84,156,21355,10634,,0,,,0,,0,155
84,159,21119,10493,,0,,,0,,0,154
78,147,20157,9621,,0,,,0,,0,141
93,179,22492,11399,,0,,,0,,0,174
93,179,22492,11399,,0,,,0,,0,174
86,163,21453,10504,,0,,,0,,0,135
94,182,23502,12119,,0,,,0,,0,159
80,150,20079,9606,,0,,,0,,0,131
90,175,22812,11737,,0,,,0,,0,167
81,154,21016,10167,,0,,,0,,0,144
