FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
81,166,19761,11735,,0,,,0,,0,180
71,140,18538,10847,,0,,,0,,0,131
71,144,18790,10674,,0,,,0,,0,155
81,166,19761,11735,,0,,,0,,0,175
73,148,18770,10834,,0,,,0,,0,160
74,149,18535,10660,,0,,,0,,0,135
69,137,19009,10860,,0,,,0,,0,141
77,159,19029,11021,,0,,,0,,0,174
77,157,18821,10884,,0,,,0,,0,167
73,148,18770,10834,,0,,,0,,0,154
80,164,19953,11541,,0,,,0,,0,159
77,155,18353,10513,,0,,,0,,0,154
70,142,18323,10470,,0,,,0,,0,144
77,159,19029,11021,,0,,,0,,0,174
