FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
66,134,18632,9363,,0,,,0,,0,141
66,136,18600,9335,,0,,,0,,0,131
75,162,19917,10657,,0,,,0,,0,159
75,163,19757,10481,,0,,,0,,0,175
72,151,18653,9746,,0,,,0,,0,154
67,138,18811,9882,,0,,,0,,0,144
75,163,19757,10481,,0,,,0,,0,180
75,159,19196,10194,,0,,,0,,0,174
69,145,18858,9763,,0,,,0,,0,135
69,144,19164,10107,,0,,,0,,0,160
75,159,19196,10194,,0,,,0,,0,174
69,142,19653,10256,,0,,,0,,0,155
69,144,19164,10107,,0,,,0,,0,155
72,154,19038,10049,,0,,,0,,0,167
