FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
76,140,13817,4276,,0,,,0,,0,159
64,113,12276,3208,,0,,,0,,0,141
78,144,14229,4370,,0,,,0,,0,180
73,133,13318,3986,,0,,,0,,0,167
75,138,13603,4178,,0,,,0,,0,175
67,117,12061,3305,,0,,,0,,0,131
75,138,13603,4178,,0,,,0,,0,175
68,121,12611,3500,,0,,,0,,0,155
67,119,12366,3500,,0,,,0,,0,144
72,129,13122,3889,,0,,,0,,0,154
70,124,12631,3694,,0,,,0,,0,155
70,124,12669,3694,,0,,,0,,0,135
78,144,14229,4370,,0,,,0,,0,175
70,124,12631,3694,,0,,,0,,0,161
