FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
90,167,19393,8434,,0,,,0,,0,174
75,136,17378,7028,,0,,,0,,0,141
87,162,19084,8146,,0,,,0,,0,167
84,155,18284,7719,,0,,,0,,0,154
81,149,18116,7669,,0,,,0,,0,135
93,173,20183,8909,,0,,,0,,0,180
79,144,17991,7615,,0,,,0,,0,155
76,137,17220,7143,,0,,,0,,0,131
81,148,18070,7581,,0,,,0,,0,155
90,167,19393,8434,,0,,,0,,0,174
81,148,18070,7581,,0,,,0,,0,160
79,142,17463,7399,,0,,,0,,0,144
93,173,20183,8909,,0,,,0,,0,175
91,170,19815,8660,,0,,,0,,0,159
