FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
80,138,16797,6847,,0,,,0,,0,175
69,112,14280,5257,,0,,,0,,0,131
80,138,16797,6847,,0,,,0,,0,180
72,119,15055,5894,,0,,,0,,0,161
67,109,14062,5056,,0,,,0,,0,141
70,116,14947,5693,,0,,,0,,0,155
78,132,16189,6642,,0,,,0,,0,175
81,137,17282,6921,,0,,,0,,0,159
72,119,15055,5894,,0,,,0,,0,155
77,130,16426,6605,,0,,,0,,0,167
72,119,15187,5939,,0,,,0,,0,136
78,132,16189,6642,,0,,,0,,0,175
74,124,15406,6198,,0,,,0,,0,154
69,114,14402,5381,,0,,,0,,0,144
