FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
93,176,23606,13446,,0,,,0,,0,175
76,142,19696,10661,,0,,,0,,0,131
82,152,21007,11612,,0,,,0,,0,154
90,169,22932,12925,,0,,,0,,0,174
90,169,22932,12925,,0,,,0,,0,174
80,148,20883,11428,,0,,,0,,0,155
76,140,19947,10551,,0,,,0,,0,141
89,166,22863,12851,,0,,,0,,0,167
93,176,23606,13446,,0,,,0,,0,180
82,152,21007,11612,,0,,,0,,0,160
79,147,21013,11485,,0,,,0,,0,144
82,154,20859,11386,,0,,,0,,0,135
85,160,22039,12505,,0,,,0,,0,154
90,172,23742,13493,,0,,,0,,0,159
