FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
56,102,6358,3174,,0,,,0,,0,83
56,102,6385,3186,,0,,,0,,0,78
59,108,6396,3328,,0,,,0,,0,76
60,110,6750,3508,,0,,,0,,0,85
57,103,6148,3212,,0,,,0,,0,76
60,109,6564,3414,,0,,,0,,0,98
64,119,6691,3600,,0,,,0,,0,95
72,134,7007,3802,,0,,,0,,0,98
63,117,6937,3669,,0,,,0,,0,78
61,112,6041,3282,,0,,,0,,0,90
65,123,6380,3479,,0,,,0,,0,103
53,97,5655,2864,,0,,,0,,0,75
56,100,6246,2901,,0,,,0,,0,74
64,120,6836,3728,,0,,,0,,0,87
73,143,6824,3778,,0,,,0,,0,121
68,134,6690,3713,,0,,,0,,0,103
77,152,6430,3610,,0,,,0,,0,106
53,95,5795,2584,,0,,,0,,0,63
73,147,7017,3932,,0,,,0,,0,102
63,118,6708,3465,,0,,,0,,0,98
61,112,6542,3347,,0,,,0,,0,106
53,97,5655,2864,,0,,,0,,0,72
68,134,6690,3713,,0,,,0,,0,113
60,110,6750,3508,,0,,,0,,0,80
60,111,6203,3177,,0,,,0,,0,79
65,121,6141,3264,,0,,,0,,0,93
53,95,5797,2588,,0,,,0,,0,66
57,105,6056,3155,,0,,,0,,0,79
56,102,6290,3141,,0,,,0,,0,78
63,117,6937,3669,,0,,,0,,0,80
61,114,6249,3309,,0,,,0,,0,86
53,98,5616,2844,,0,,,0,,0,68
73,144,6837,3782,,0,,,0,,0,112
57,103,6285,3271,,0,,,0,,0,78
73,143,6824,3778,,0,,,0,,0,111
53,95,5655,2619,,0,,,0,,0,62
81,164,7389,4191,,0,,,0,,0,126
64,120,6828,3646,,0,,,0,,0,90
56,100,6174,2870,,0,,,0,,0,74
66,125,6633,3648,,0,,,0,,0,91
63,116,6960,3671,,0,,,0,,0,92
80,164,7378,4113,,0,,,0,,0,110
64,119,6691,3600,,0,,,0,,0,84
56,101,6246,3131,,0,,,0,,0,76
68,131,6875,3787,,0,,,0,,0,100
69,130,6889,3726,,0,,,0,,0,99
60,111,6348,3371,,0,,,0,,0,80
71,142,7112,3836,,0,,,0,,0,101
64,124,6305,3436,,0,,,0,,0,98
75,145,7303,3923,,0,,,0,,0,109
