FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
93,140,12139,5274,,0,,,0,,0,82
92,138,11667,4915,,0,,,0,,0,86
119,182,13911,6408,,0,,,0,,0,117
80,120,11492,4770,,0,,,0,,0,68
99,147,12193,5419,,0,,,0,,0,102
80,119,11299,4585,,0,,,0,,0,73
85,127,11434,4660,,0,,,0,,0,75
86,129,11216,4630,,0,,,0,,0,77
96,143,12106,5189,,0,,,0,,0,93
77,114,11412,4673,,0,,,0,,0,62
93,139,11964,5071,,0,,,0,,0,86
105,160,11897,5219,,0,,,0,,0,114
114,175,12930,5781,,0,,,0,,0,119
81,120,11241,4540,,0,,,0,,0,68
94,140,11826,5205,,0,,,0,,0,98
101,154,12264,5336,,0,,,0,,0,121
80,119,11075,4519,,0,,,0,,0,79
105,158,12201,5524,,0,,,0,,0,104
100,150,12190,5234,,0,,,0,,0,103
96,144,11996,5021,,0,,,0,,0,98
86,128,11197,4682,,0,,,0,,0,79
90,134,11522,4925,,0,,,0,,0,106
118,179,13646,6102,,0,,,0,,0,97
97,147,11638,5026,,0,,,0,,0,97
100,151,12923,5595,,0,,,0,,0,91
118,180,13766,6335,,0,,,0,,0,111
127,193,15642,7463,,0,,,0,,0,126
83,123,11487,4716,,0,,,0,,0,90
89,133,11148,4704,,0,,,0,,0,79
91,136,11874,5160,,0,,,0,,0,81
93,140,12705,5627,,0,,,0,,0,85
80,119,11072,4513,,0,,,0,,0,76
97,145,11888,5156,,0,,,0,,0,103
80,119,11187,4538,,0,,,0,,0,74
77,114,11647,4775,,0,,,0,,0,59
87,129,10896,4551,,0,,,0,,0,98
83,123,11435,4689,,0,,,0,,0,83
105,161,11724,5139,,0,,,0,,0,113
96,143,12106,5189,,0,,,0,,0,84
87,131,11384,4716,,0,,,0,,0,85
80,119,11187,4538,,0,,,0,,0,73
100,152,12114,5182,,0,,,0,,0,98
104,158,11683,5065,,0,,,0,,0,102
118,179,13646,6102,,0,,,0,,0,102
127,192,15249,7175,,0,,,0,,0,110
105,158,12201,5524,,0,,,0,,0,98
80,119,11382,4615,,0,,,0,,0,72
97,146,11815,4946,,0,,,0,,0,102
113,174,12708,5692,,0,,,0,,0,111
86,129,10797,4337,,0,,,0,,0,76
