FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
61,127,16210,9983,,0,,,0,,0,87
63,130,16849,10262,,0,,,0,,0,90
61,123,15220,9257,,0,,,0,,0,86
55,113,14892,8933,,0,,,0,,0,77
58,117,14917,8842,,0,,,0,,0,80
77,176,17776,11210,,0,,,0,,0,123
61,125,16969,10378,,0,,,0,,0,85
52,105,13511,7638,,0,,,0,,0,68
57,114,15271,8944,,0,,,0,,0,75
70,155,17696,11017,,0,,,0,,0,119
52,104,13421,7488,,0,,,0,,0,75
63,133,16574,10326,,0,,,0,,0,111
72,155,18186,11103,,0,,,0,,0,109
61,127,16210,9983,,0,,,0,,0,103
71,158,17822,11134,,0,,,0,,0,102
77,171,17699,11115,,0,,,0,,0,106
67,139,17060,10402,,0,,,0,,0,99
60,123,15900,9643,,0,,,0,,0,82
60,123,15614,9469,,0,,,0,,0,82
52,102,13819,7640,,0,,,0,,0,66
52,105,13511,7638,,0,,,0,,0,71
73,163,18405,11425,,0,,,0,,0,117
60,123,15614,9469,,0,,,0,,0,92
63,132,16275,10003,,0,,,0,,0,97
71,158,17822,11134,,0,,,0,,0,97
66,143,16484,10177,,0,,,0,,0,113
64,130,15753,9316,,0,,,0,,0,93
60,121,15278,8989,,0,,,0,,0,90
60,120,15595,9298,,0,,,0,,0,82
63,134,16153,10134,,0,,,0,,0,98
60,123,15831,9600,,0,,,0,,0,86
70,154,17521,10735,,0,,,0,,0,105
55,109,15012,8800,,0,,,0,,0,83
58,115,15387,8977,,0,,,0,,0,77
52,102,13798,7383,,0,,,0,,0,63
64,134,17283,10476,,0,,,0,,0,91
55,109,14946,8731,,0,,,0,,0,78
70,154,17521,10735,,0,,,0,,0,112
58,117,16046,9582,,0,,,0,,0,85
63,129,16714,10252,,0,,,0,,0,82
55,109,14946,8731,,0,,,0,,0,76
52,104,13589,7746,,0,,,0,,0,74
63,129,16714,10252,,0,,,0,,0,95
55,108,14804,8426,,0,,,0,,0,68
58,118,15462,9357,,0,,,0,,0,79
55,109,15104,8843,,0,,,0,,0,90
55,107,14950,8607,,0,,,0,,0,76
67,143,16934,10563,,0,,,0,,0,103
54,107,14613,8237,,0,,,0,,0,79
60,120,15595,9298,,0,,,0,,0,92
