FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
51,92,10663,2523,,0,,,0,,0,86
62,118,11473,3109,,0,,,0,,0,117
55,102,10819,2668,,0,,,0,,0,121
55,104,10757,2686,,0,,,0,,0,114
66,126,11718,3208,,0,,,0,,0,106
51,91,10874,2501,,0,,,0,,0,92
45,81,10296,2284,,0,,,0,,0,73
51,91,10728,2443,,0,,,0,,0,78
54,100,10582,2487,,0,,,0,,0,105
51,90,10737,2498,,0,,,0,,0,80
48,85,10384,2316,,0,,,0,,0,76
45,81,10211,2233,,0,,,0,,0,68
51,93,10546,2436,,0,,,0,,0,98
55,105,10812,2878,,0,,,0,,0,103
64,121,11813,3129,,0,,,0,,0,111
52,96,10819,2651,,0,,,0,,0,87
45,80,10341,2406,,0,,,0,,0,68
48,83,10354,2202,,0,,,0,,0,74
55,103,10883,2708,,0,,,0,,0,100
54,98,10420,2412,,0,,,0,,0,93
59,113,11219,2937,,0,,,0,,0,97
58,107,11125,2898,,0,,,0,,0,113
54,97,10791,2533,,0,,,0,,0,82
54,97,10791,2533,,0,,,0,,0,93
45,80,10460,2333,,0,,,0,,0,66
54,97,10767,2510,,0,,,0,,0,86
54,98,10431,2485,,0,,,0,,0,91
61,115,11419,2936,,0,,,0,,0,105
58,107,11125,2898,,0,,,0,,0,104
45,79,10562,2332,,0,,,0,,0,59
55,103,10795,2803,,0,,,0,,0,103
51,91,10694,2443,,0,,,0,,0,85
58,106,10707,2655,,0,,,0,,0,104
61,116,11542,3066,,0,,,0,,0,120
48,88,10446,2467,,0,,,0,,0,77
68,130,11530,3159,,0,,,0,,0,127
51,94,10506,2510,,0,,,0,,0,99
51,91,10708,2458,,0,,,0,,0,79
48,86,10519,2399,,0,,,0,,0,78
52,94,10657,2578,,0,,,0,,0,82
48,85,10570,2327,,0,,,0,,0,78
54,99,10785,2692,,0,,,0,,0,98
48,87,10363,2321,,0,,,0,,0,77
52,96,10628,2637,,0,,,0,,0,103
54,99,10701,2474,,0,,,0,,0,102
61,115,11419,2936,,0,,,0,,0,113
54,98,10589,2562,,0,,,0,,0,103
48,85,10570,2327,,0,,,0,,0,90
57,103,10868,2594,,0,,,0,,0,91
54,101,10854,2753,,0,,,0,,0,98
