FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
69,128,17537,8812,,0,,,0,,0,95
80,156,19567,10711,,0,,,0,,0,121
62,114,17706,8624,,0,,,0,,0,78
83,161,21511,12077,,0,,,0,,0,119
62,114,17710,8479,,0,,,0,,0,90
72,135,17616,8931,,0,,,0,,0,97
69,127,17771,8741,,0,,,0,,0,86
59,107,16892,7760,,0,,,0,,0,63
70,133,18525,9563,,0,,,0,,0,105
65,118,18318,9095,,0,,,0,,0,76
69,131,17895,9024,,0,,,0,,0,103
65,120,18419,9219,,0,,,0,,0,80
61,112,17530,8372,,0,,,0,,0,76
65,120,17803,8667,,0,,,0,,0,98
80,156,19715,10787,,0,,,0,,0,112
84,164,21747,12416,,0,,,0,,0,117
76,146,18301,9613,,0,,,0,,0,113
64,117,18251,8849,,0,,,0,,0,75
65,119,17876,8935,,0,,,0,,0,79
81,157,19874,10612,,0,,,0,,0,102
68,127,18291,9297,,0,,,0,,0,78
65,121,17586,8695,,0,,,0,,0,84
68,127,18188,9137,,0,,,0,,0,81
72,134,17425,8757,,0,,,0,,0,103
61,110,17208,8141,,0,,,0,,0,74
72,133,17678,8858,,0,,,0,,0,91
69,131,17895,9024,,0,,,0,,0,87
68,125,17550,8705,,0,,,0,,0,86
65,121,18207,8994,,0,,,0,,0,80
65,121,18012,9003,,0,,,0,,0,82
65,119,17766,8620,,0,,,0,,0,77
76,146,18301,9613,,0,,,0,,0,103
59,108,16685,7847,,0,,,0,,0,71
76,143,18842,9971,,0,,,0,,0,100
65,121,17586,8695,,0,,,0,,0,90
73,138,17729,9201,,0,,,0,,0,121
61,112,17530,8372,,0,,,0,,0,78
59,108,16685,7847,,0,,,0,,0,68
66,123,17182,8383,,0,,,0,,0,106
59,107,16926,7810,,0,,,0,,0,66
65,119,17734,8662,,0,,,0,,0,77
72,137,17613,9065,,0,,,0,,0,98
59,107,16920,7685,,0,,,0,,0,59
65,121,17410,8553,,0,,,0,,0,78
59,108,16786,7725,,0,,,0,,0,62
69,128,17537,8812,,0,,,0,,0,93
71,132,18970,9839,,0,,,0,,0,85
68,126,18009,8981,,0,,,0,,0,92
69,128,17537,8812,,0,,,0,,0,82
65,119,18041,8937,,0,,,0,,0,77
