FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
72,137,18779,7445,,0,,,0,,0,92
69,132,18315,7043,,0,,,0,,0,76
75,147,18870,7420,,0,,,0,,0,103
82,165,18000,7344,,0,,,0,,0,103
78,155,18160,7172,,0,,,0,,0,98
68,129,18036,6644,,0,,,0,,0,76
64,120,16761,5904,,0,,,0,,0,75
66,124,17706,6696,,0,,,0,,0,76
64,121,16816,6012,,0,,,0,,0,71
64,121,16867,6097,,0,,,0,,0,73
64,119,16691,5680,,0,,,0,,0,63
66,124,17607,6573,,0,,,0,,0,79
85,174,19201,8084,,0,,,0,,0,101
73,138,17542,6773,,0,,,0,,0,106
69,132,17958,6858,,0,,,0,,0,77
74,142,18889,7389,,0,,,0,,0,92
69,130,17790,6686,,0,,,0,,0,75
72,137,18779,7445,,0,,,0,,0,82
70,134,18516,7337,,0,,,0,,0,80
80,157,18538,7338,,0,,,0,,0,91
67,127,18069,6994,,0,,,0,,0,78
91,185,21162,9381,,0,,,0,,0,111
66,123,17742,6547,,0,,,0,,0,76
79,151,17769,6961,,0,,,0,,0,105
70,134,18516,7337,,0,,,0,,0,85
90,179,21170,9307,,0,,,0,,0,109
66,124,17706,6696,,0,,,0,,0,78
74,142,18889,7389,,0,,,0,,0,82
75,147,18407,7391,,0,,,0,,0,98
62,117,16448,5751,,0,,,0,,0,62
89,181,20391,8854,,0,,,0,,0,102
74,142,18526,7208,,0,,,0,,0,86
72,138,18343,7291,,0,,,0,,0,84
92,187,21592,9581,,0,,,0,,0,117
71,135,18773,7238,,0,,,0,,0,77
82,162,18123,7482,,0,,,0,,0,104
88,178,20156,8539,,0,,,0,,0,105
64,119,16634,5858,,0,,,0,,0,66
67,126,18110,6845,,0,,,0,,0,77
70,132,18124,7036,,0,,,0,,0,77
75,145,18405,7153,,0,,,0,,0,85
88,178,19891,8569,,0,,,0,,0,111
67,126,18110,6845,,0,,,0,,0,90
64,120,16904,6006,,0,,,0,,0,73
72,136,18675,7279,,0,,,0,,0,79
74,142,18316,7128,,0,,,0,,0,86
72,140,19097,7638,,0,,,0,,0,86
89,181,20391,8854,,0,,,0,,0,97
95,195,21260,9442,,0,,,0,,0,110
82,162,18123,7482,,0,,,0,,0,98
